source_file,sheet,post_id,date,year,month,day,srok,metric,metric_ru,value,unit
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,1,CO_mg_m3,Углерода оксид,3.0,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,7,CO_mg_m3,Углерода оксид,3.0,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,13,CO_mg_m3,Углерода оксид,3.0,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,19,CO_mg_m3,Углерода оксид,11.0,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,1,NO2_mg_m3,Азота диоксид,0.16,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,7,NO2_mg_m3,Азота диоксид,0.1,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,13,NO2_mg_m3,Азота диоксид,0.13,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,19,NO2_mg_m3,Азота диоксид,0.14,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,1,SO2_mg_m3,Диоксид серы,0.012,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,7,SO2_mg_m3,Диоксид серы,0.012,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,13,SO2_mg_m3,Диоксид серы,0.011,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,19,SO2_mg_m3,Диоксид серы,0.006,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,1,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,7,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,13,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 1,1,2015-01-03,2015,1,3,19,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,7,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,13,CO_mg_m3,Углерода оксид,2.0,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,19,CO_mg_m3,Углерода оксид,2.0,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,7,NO2_mg_m3,Азота диоксид,0.11,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,13,NO2_mg_m3,Азота диоксид,0.12,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,19,NO2_mg_m3,Азота диоксид,0.24,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,7,SO2_mg_m3,Диоксид серы,0.011,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,13,SO2_mg_m3,Диоксид серы,0.015,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,19,SO2_mg_m3,Диоксид серы,0.046,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,7,TSP_mg_m3,Взвеш.в-ва,0.2,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,13,TSP_mg_m3,Взвеш.в-ва,0.6,мг/куб.м
январь.xlsx,пост 12,12,2015-01-03,2015,1,3,19,TSP_mg_m3,Взвеш.в-ва,0.7,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,7,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,13,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,19,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,7,NO2_mg_m3,Азота диоксид,0.12,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,13,NO2_mg_m3,Азота диоксид,0.12,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,19,NO2_mg_m3,Азота диоксид,0.13,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,7,SO2_mg_m3,Диоксид серы,0.009,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,13,SO2_mg_m3,Диоксид серы,0.017,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,19,SO2_mg_m3,Диоксид серы,0.012,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,7,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,13,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 16,16,2015-01-03,2015,1,3,19,TSP_mg_m3,Взвеш.в-ва,0.2,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,7,CO_mg_m3,Углерода оксид,2.0,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,13,CO_mg_m3,Углерода оксид,2.0,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,19,CO_mg_m3,Углерода оксид,3.0,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,7,NO2_mg_m3,Азота диоксид,0.12,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,13,NO2_mg_m3,Азота диоксид,0.14,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,19,NO2_mg_m3,Азота диоксид,0.27,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,7,SO2_mg_m3,Диоксид серы,0.002,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,13,SO2_mg_m3,Диоксид серы,0.005,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,19,SO2_mg_m3,Диоксид серы,0.0,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,7,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,13,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 25,25,2015-01-03,2015,1,3,19,TSP_mg_m3,Взвеш.в-ва,0.2,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,7,CO_mg_m3,Углерода оксид,2.0,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,13,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,19,CO_mg_m3,Углерода оксид,2.0,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,7,NO2_mg_m3,Азота диоксид,0.09,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,13,NO2_mg_m3,Азота диоксид,0.1,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,19,NO2_mg_m3,Азота диоксид,0.18,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,7,SO2_mg_m3,Диоксид серы,0.011,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,13,SO2_mg_m3,Диоксид серы,0.008,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,19,SO2_mg_m3,Диоксид серы,0.014,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,7,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,13,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 26,26,2015-01-03,2015,1,3,19,TSP_mg_m3,Взвеш.в-ва,0.2,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,1,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,7,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,13,CO_mg_m3,Углерода оксид,2.0,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,19,CO_mg_m3,Углерода оксид,7.0,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,1,NO2_mg_m3,Азота диоксид,0.17,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,7,NO2_mg_m3,Азота диоксид,0.14,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,13,NO2_mg_m3,Азота диоксид,0.13,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,19,NO2_mg_m3,Азота диоксид,0.22,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,1,SO2_mg_m3,Диоксид серы,0.014,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,7,SO2_mg_m3,Диоксид серы,0.008,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,13,SO2_mg_m3,Диоксид серы,0.0,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,19,SO2_mg_m3,Диоксид серы,0.005,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,1,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,7,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,13,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 1,1,2015-01-05,2015,1,5,19,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,7,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,13,CO_mg_m3,Углерода оксид,3.0,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,19,CO_mg_m3,Углерода оксид,3.0,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,7,NO2_mg_m3,Азота диоксид,0.15,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,13,NO2_mg_m3,Азота диоксид,0.16,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,19,NO2_mg_m3,Азота диоксид,0.18,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,7,SO2_mg_m3,Диоксид серы,0.006,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,13,SO2_mg_m3,Диоксид серы,0.008,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,19,SO2_mg_m3,Диоксид серы,0.005,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,7,TSP_mg_m3,Взвеш.в-ва,0.2,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,13,TSP_mg_m3,Взвеш.в-ва,0.1,мг/куб.м
январь.xlsx,пост 12,12,2015-01-05,2015,1,5,19,TSP_mg_m3,Взвеш.в-ва,0.2,мг/куб.м
январь.xlsx,пост 16,16,2015-01-05,2015,1,5,7,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 16,16,2015-01-05,2015,1,5,13,CO_mg_m3,Углерода оксид,1.0,мг/куб.м
январь.xlsx,пост 16,16,2015-01-05,2015,1,5,19,CO_mg_m3,Углерода оксид,2.0,мг/куб.м
январь.xlsx,пост 16,16,2015-01-05,2015,1,5,7,NO2_mg_m3,Азота диоксид,0.14,мг/куб.м
январь.xlsx,пост 16,16,2015-01-05,2015,1,5,13,NO2_mg_m3,Азота диоксид,0.11,мг/куб.м
