year,population,natural_growth_year,natural_growth_year_from_months,months_available
2000,1130439.0,2717.0,,
2001,1128759.0,1867.0,,
2002,1132424.0,4195.0,,
2003,1149641.0,6768.0,,
2004,1175208.0,10591.0,,
2005,1209485.0,12202.0,,
2006,1247896.0,15920.0,,
2007,1287246.0,17577.0,,
2008,1324739.0,21815.0,,
2009,1361877.0,14285.0,7665.0,4.0
2010,1390610.0,13709.0,,
2011,1413152.0,13749.0,,
2012,1449366.0,15608.0,,
2013,1474849.0,16492.0,,
2014,1506899.0,18623.0,,
2015,1641444.0,20580.0,,
2016,1702766.0,20910.0,,
2017,1751308.0,20488.0,,
2018,1801993.0,21581.0,,
2019,1854656.0,22068.0,3811.0,2.0
2020,1916822.0,21086.0,,
2021,1977258.0,19702.0,,
2022,2101485.0,23784.0,,
2023,2161902.0,23565.0,,
2024,2228677.0,22196.0,2000.0,1.0
2025,2292055.0,,7856.0,5.0
