year,category,unit,value
2003,Автобусы,тыс. ед.,11.888
2004,Автобусы,тыс. ед.,9.562
2005,Автобусы,тыс. ед.,8.107
2006,Автобусы,тыс. ед.,8.737
2007,Автобусы,тыс. ед.,9.576
2008,Автобусы,тыс. ед.,9.838
2009,Автобусы,тыс. ед.,12.45
2010,Автобусы,тыс. ед.,12.153
2011,Автобусы,тыс. ед.,11.434
2012,Автобусы,тыс. ед.,10.753
2013,Автобусы,тыс. ед.,10.757
2014,Автобусы,тыс. ед.,9.614
2015,Автобусы,тыс. ед.,9.327
2016,Автобусы,тыс. ед.,9.058
2017,Автобусы,тыс. ед.,8.433
2018,Автобусы,тыс. ед.,8.315
2019,Автобусы,тыс. ед.,8.758
2020,Автобусы,тыс. ед.,8.859
2021,Автобусы,тыс. ед.,8.359
2022,Автобусы,тыс. ед.,11.792
2023,Автобусы,тыс. ед.,14.575
2024,Автобусы,тыс. ед.,14.705
2003,Всего автотранспортных средств,тыс. ед.,259.10299999999995
2004,Всего автотранспортных средств,тыс. ед.,232.09300000000002
2005,Всего автотранспортных средств,тыс. ед.,289.28600000000006
2006,Всего автотранспортных средств,тыс. ед.,372.867
2007,Всего автотранспортных средств,тыс. ед.,495.732
2008,Всего автотранспортных средств,тыс. ед.,496.16900000000004
2009,Всего автотранспортных средств,тыс. ед.,510.223
2010,Всего автотранспортных средств,тыс. ед.,495.29400000000004
2011,Всего автотранспортных средств,тыс. ед.,570.148
2012,Всего автотранспортных средств,тыс. ед.,541.0550000000001
2013,Всего автотранспортных средств,тыс. ед.,551.5419999999999
2014,Всего автотранспортных средств,тыс. ед.,556.22
2015,Всего автотранспортных средств,тыс. ед.,511.19399999999996
2016,Всего автотранспортных средств,тыс. ед.,500.24999999999994
2017,Всего автотранспортных средств,тыс. ед.,504.382
2018,Всего автотранспортных средств,тыс. ед.,509.592
2019,Всего автотранспортных средств,тыс. ед.,514.729
2020,Всего автотранспортных средств,тыс. ед.,513.445
2021,Всего автотранспортных средств,тыс. ед.,510.53299999999996
2022,Всего автотранспортных средств,тыс. ед.,530.092
2023,Всего автотранспортных средств,тыс. ед.,617.238
2024,Всего автотранспортных средств,тыс. ед.,667.629
2003,Грузовые автомобили,тыс. ед.,29.015
2004,Грузовые автомобили,тыс. ед.,23.031
2005,Грузовые автомобили,тыс. ед.,26.379
2006,Грузовые автомобили,тыс. ед.,23.03
2007,Грузовые автомобили,тыс. ед.,35.956
2008,Грузовые автомобили,тыс. ед.,32.831
2009,Грузовые автомобили,тыс. ед.,34.134
2010,Грузовые автомобили,тыс. ед.,35.541
2011,Грузовые автомобили,тыс. ед.,33.014
2012,Грузовые автомобили,тыс. ед.,31.402
2013,Грузовые автомобили,тыс. ед.,35.585
2014,Грузовые автомобили,тыс. ед.,32.34
2015,Грузовые автомобили,тыс. ед.,33.53
2016,Грузовые автомобили,тыс. ед.,31.691
2017,Грузовые автомобили,тыс. ед.,33.455
2018,Грузовые автомобили,тыс. ед.,30.195
2019,Грузовые автомобили,тыс. ед.,35.988
2020,Грузовые автомобили,тыс. ед.,37.618
2021,Грузовые автомобили,тыс. ед.,39.132
2022,Грузовые автомобили,тыс. ед.,34.259
2023,Грузовые автомобили,тыс. ед.,38.215
2024,Грузовые автомобили,тыс. ед.,41.862
2003,Легковые автомобили,тыс. ед.,218.2
2004,Легковые автомобили,тыс. ед.,199.5
2005,Легковые автомобили,тыс. ед.,254.8
2006,Легковые автомобили,тыс. ед.,341.1
2007,Легковые автомобили,тыс. ед.,450.2
2008,Легковые автомобили,тыс. ед.,453.5
2009,Легковые автомобили,тыс. ед.,463.639
2010,Легковые автомобили,тыс. ед.,447.6
2011,Легковые автомобили,тыс. ед.,525.7
2012,Легковые автомобили,тыс. ед.,498.9
2013,Легковые автомобили,тыс. ед.,505.2
2014,Легковые автомобили,тыс. ед.,514.266
2015,Легковые автомобили,тыс. ед.,468.337
2016,Легковые автомобили,тыс. ед.,459.501
2017,Легковые автомобили,тыс. ед.,462.494
2018,Легковые автомобили,тыс. ед.,471.082
2019,Легковые автомобили,тыс. ед.,469.983
2020,Легковые автомобили,тыс. ед.,466.968
2021,Легковые автомобили,тыс. ед.,463.042
2022,Легковые автомобили,тыс. ед.,484.041
2023,Легковые автомобили,тыс. ед.,564.448
2024,Легковые автомобили,тыс. ед.,611.062
