category,unit,year,value
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2005,44.8
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2006,48.6
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2007,40.5
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2008,45.7
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2009,48.0
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2010,51.4
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2011,53.3
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2012,48.0
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2013,52.8
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2014,39.7
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2015,44.0
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2016,39.1
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2017,32.2
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2018,38.8
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2019,36.5
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2020,34.7
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2021,36.0
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2022,24.5
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2023,24.9
Выбросы жидких и газообразных загрязняющих веществ,тыс. тонн,2024,26.0
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2005,43.0
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2006,45.0
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2007,38.0
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2008,41.0
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2009,42.0
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2010,40.0
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2011,39.0
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2012,33.374528847061654
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2013,34.8197635552788
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2014,27.1
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2015,28.46551157384197
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2016,25.6
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2017,21.695975396563938
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2018,24.8
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2019,23.510942544680145
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2020,22.386470496592395
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2021,22.9
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2022,19.3
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2023,18.691743533717784
Выбросы загрязняющих веществ от стац. источников (на душу населения),кг/чел,2024,19.186505189415943
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2005,23.6
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2006,23.2
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2007,21.9
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2008,22.5
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2009,23.2
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2010,23.2
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2011,20.1
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2012,16.4
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2013,15.7
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2014,11.8
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2015,11.1
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2016,11.3
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2017,11.2
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2018,11.3
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2019,11.6
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2020,11.6
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2021,11.9
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2022,4.31
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2023,3.5
Выбросы твёрдых загрязняющих веществ,тыс. тонн,2024,3.7
Количество источников выбросов загрязняющих веществ,шт.,2005,4241.0
Количество источников выбросов загрязняющих веществ,шт.,2006,5293.0
Количество источников выбросов загрязняющих веществ,шт.,2007,5777.0
Количество источников выбросов загрязняющих веществ,шт.,2008,6775.0
Количество источников выбросов загрязняющих веществ,шт.,2009,6283.0
Количество источников выбросов загрязняющих веществ,шт.,2010,5974.0
Количество источников выбросов загрязняющих веществ,шт.,2011,6294.0
Количество источников выбросов загрязняющих веществ,шт.,2012,6495.0
Количество источников выбросов загрязняющих веществ,шт.,2013,9827.0
Количество источников выбросов загрязняющих веществ,шт.,2014,14049.0
Количество источников выбросов загрязняющих веществ,шт.,2015,13485.0
Количество источников выбросов загрязняющих веществ,шт.,2016,15452.0
