year,metric,p10,p50,p90
2026,CO_mg_m3,1.252615,1.417617,1.617477
2027,CO_mg_m3,1.252615,1.475716,1.732514
2028,CO_mg_m3,1.281665,1.435046,1.849874
2029,CO_mg_m3,1.223566,1.522195,1.864979
2030,CO_mg_m3,1.152685,1.545435,1.85336
2031,CO_mg_m3,1.155009,1.498955,1.909135
2032,CO_mg_m3,1.152685,1.458286,1.928889
2033,CO_mg_m3,1.07948,1.504765,1.996283
2034,CO_mg_m3,1.094586,1.487336,2.045086
2035,CO_mg_m3,1.0086,1.452476,1.95329
2036,CO_mg_m3,1.075994,1.405997,1.880085
2037,CO_mg_m3,1.13177,1.382757,2.108995
2038,CO_mg_m3,1.023705,1.411807,2.231004
2039,CO_mg_m3,1.144551,1.382757,2.198468
2040,CO_mg_m3,1.08529,1.353708,1.934699
2041,CO_mg_m3,0.98536,1.382757,1.924241
2042,CO_mg_m3,0.963282,1.411807,1.876599
2043,CO_mg_m3,0.935395,1.504765,1.791775
2044,CO_mg_m3,0.983036,1.371138,1.844064
2045,CO_mg_m3,1.053917,1.336278,1.740648
2026,NO2_mg_m3,0.087093,0.107774,0.119425
2027,NO2_mg_m3,0.085928,0.10389,0.129038
2028,NO2_mg_m3,0.08719,0.104861,0.120105
2029,NO2_mg_m3,0.086122,0.102434,0.115736
2030,NO2_mg_m3,0.080976,0.101949,0.130106
2031,NO2_mg_m3,0.086025,0.106318,0.126513
2032,NO2_mg_m3,0.073888,0.109716,0.13632
2033,NO2_mg_m3,0.072432,0.109231,0.127678
2034,NO2_mg_m3,0.076995,0.112629,0.132824
2035,NO2_mg_m3,0.079326,0.107289,0.13797
2036,NO2_mg_m3,0.079617,0.115056,0.144281
2037,NO2_mg_m3,0.085248,0.1136,0.146515
2038,NO2_mg_m3,0.079423,0.115056,0.141563
2039,NO2_mg_m3,0.075151,0.121367,0.148845
2040,NO2_mg_m3,0.093113,0.116998,0.151563
2041,NO2_mg_m3,0.086608,0.119425,0.145252
2042,NO2_mg_m3,0.082433,0.111658,0.147777
2043,NO2_mg_m3,0.081753,0.113114,0.148942
2044,NO2_mg_m3,0.076122,0.109716,0.138164
2045,NO2_mg_m3,0.072432,0.116513,0.135057
2026,SO2_mg_m3,0.008909,0.009736,0.010789
2027,SO2_mg_m3,0.0088,0.00982,0.011082
2028,SO2_mg_m3,0.008249,0.010029,0.011174
2029,SO2_mg_m3,0.008249,0.010112,0.012193
2030,SO2_mg_m3,0.007463,0.010196,0.012845
2031,SO2_mg_m3,0.007162,0.010781,0.012586
2032,SO2_mg_m3,0.007262,0.010405,0.013555
2033,SO2_mg_m3,0.007705,0.010029,0.012461
2034,SO2_mg_m3,0.008165,0.01007,0.013079
2035,SO2_mg_m3,0.007964,0.01007,0.013296
2036,SO2_mg_m3,0.007104,0.010279,0.012469
2037,SO2_mg_m3,0.007906,0.010697,0.01231
2038,SO2_mg_m3,0.007755,0.010405,0.012686
2039,SO2_mg_m3,0.008006,0.011199,0.013555
2040,SO2_mg_m3,0.008006,0.010948,0.014608
2041,SO2_mg_m3,0.007914,0.011157,0.013898
2042,SO2_mg_m3,0.007647,0.011784,0.013589
2043,SO2_mg_m3,0.008265,0.011073,0.013931
2044,SO2_mg_m3,0.008056,0.01099,0.013639
2045,SO2_mg_m3,0.008349,0.011575,0.013397
2026,TSP_mg_m3,0.122542,0.14044,0.162649
2027,TSP_mg_m3,0.125286,0.139134,0.172709
2028,TSP_mg_m3,0.121366,0.144359,0.165132
2029,TSP_mg_m3,0.11196,0.143706,0.175975
2030,TSP_mg_m3,0.113528,0.145013,0.169965
2031,TSP_mg_m3,0.117708,0.141093,0.175191
2032,TSP_mg_m3,0.121105,0.150892,0.181854
2033,TSP_mg_m3,0.118754,0.155464,0.17702
2034,TSP_mg_m3,0.13025,0.152851,0.184075
