"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"СГНЛ"	"LСГНЛ"	"VAL"
"Численность населения на начало периода(Человек)"	"2017 год"	"201712"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"17 918 214"
"Численность населения на начало периода(Человек)"	"2004 год"	"200412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"14 951 200"
"Численность населения на начало периода(Человек)"	"2003 год"	"200312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"14 866 837"
"Численность населения на начало периода(Человек)"	"2007 год"	"200712"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"15 396 878"
"Численность населения на начало периода(Человек)"	"2002 год"	"200212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"14 851 059"
"Численность населения на начало периода(Человек)"	"2005 год"	"200512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"15 074 767"
"Численность населения на начало периода(Человек)"	"2001 год"	"200112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"14 865 610"
"Численность населения на начало периода(Человек)"	"2008 год"	"200812"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"15 571 506"
"Численность населения на начало периода(Человек)"	"2009 год"	"200912"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"15 982 370"
"Численность населения на начало периода(Человек)"	"2006 год"	"200612"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"15 219 291"
"Численность населения на начало периода(Человек)"	"2019 год"	"201912"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"18 395 567"
"Численность населения на начало периода(Человек)"	"2020 год"	"202012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"18 631 779"
"Численность населения на начало периода(Человек)"	"2000 год"	"200012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"Всего"	"0"	"Все группы"	"0"	"14 901 641"
